setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,SEIC,303,303,1,0,2021-03-17,57.2598,1.3527443435135393,,76.25,1,23,2.1517081613637328,1.7227583321448134,6,17,0,56.875,76.69375000000002
dtss,short,OTEX,305,305,1,0,2021-03-19,42.729,0.9378336622599629,,74.875,1,32,2.474745888740193,0.8033276071271457,32,17,0,56.875,76.69375000000002
dtss,short,BMY,310,310,1,0,2021-03-26,51.8963,0.8487449027956612,,58.375,1,22,1.7011160307159618,3.358528326379465,9,19,0,56.875,76.69375000000002
dtss,short,BMY,1312,1312,1,0,2025-03-24,57.5212,1.4213720647794734,24.75,65.875,1,21,8.613921065747865,0.3910503918999786,21,5,0,56.875,76.69375000000002
dtss,short,SCI,312,312,1,0,2021-03-30,47.4795,0.9231371239535642,,75.75,1,22,0.6597808201997648,2.8990967851898604,2,21,0,56.875,76.69375000000002
dtss,short,BJ,314,314,1,0,2021-04-01,44.45,1.5400642857142866,,50.78125,1,33,1.1882620855344657,3.240124484599432,16,31,0,56.875,76.69375000000002
dtss,short,RITM,314,314,1,0,2021-04-01,6.8381,0.18803335505252106,,89.9375,1,22,3.698280019551652,0.2595284224246723,13,1,0,56.875,76.69375000000002
dtss,short,INTC,316,316,1,0,2021-04-06,59.6293,1.911973491304206,,65.9375,1,11,1.5507818804178668,1.393862366576511,11,4,0,56.875,76.69375000000002
dtss,short,INTC,319,319,1,0,2021-04-09,62.0851,1.7307155306438555,,65.9375,1,8,3.1321460691678182,0.12089097931824871,8,1,0,56.875,76.69375000000002
dtss,short,TXG,316,316,1,0,2021-04-06,197.24,9.637285714285712,,80.875,1,20,2.1051570537051054,0.623619572790204,11,14,0,56.875,76.69375000000002
dtss,short,TXG,318,319,2,0,2021-04-09,194.64,9.120285714285712,,80.875,1,17,1.9394129256602228,0.9440493718868473,8,11,0,56.875,76.69375000000002
dtss,short,TXG,322,323,2,0,2021-04-15,196.13,9.964428571428568,,80.875,1,13,1.9246462416309447,0.7145417270003305,4,7,0,56.875,76.69375000000002
